experiment_id,gen_id,gen_fit_max,gen_gain_max,overall_fit_max,overall_gain_max,fit_mean,fit_var,fit_std,gain_mean,gain_var,gain_std
6,21,65.967866,-40.000000,75.393448,60.000000,53.814732,158.349299,12.583692,-66.900000,785.390000,28.024810
6,22,66.184695,-40.000000,75.393448,60.000000,50.188405,222.522703,14.917195,-75.400000,1120.840000,33.478949
6,23,66.184695,-40.000000,75.393448,60.000000,47.455566,321.456360,17.929204,-81.380000,1609.415600,40.117522
6,24,71.727419,-6.000000,75.393448,60.000000,52.431799,194.295399,13.938988,-70.160000,998.934400,31.605923
6,25,71.727419,-6.000000,75.393448,60.000000,49.870948,270.359325,16.442607,-76.020000,1442.679600,37.982622
6,26,66.241083,-40.000000,75.393448,60.000000,49.256337,266.264450,16.317612,-78.300000,1524.110000,39.039851
6,27,66.241083,-40.000000,75.393448,60.000000,41.603454,511.135128,22.608298,-97.000000,3031.000000,55.054518
6,28,66.235163,-40.000000,75.393448,60.000000,52.421762,188.520091,13.730262,-71.000000,1101.000000,33.181320
6,29,61.732471,-50.000000,75.393448,60.000000,46.043116,368.368390,19.192926,-84.820000,1892.487600,43.502731
6,30,66.258767,-40.000000,75.393448,60.000000,45.485119,383.795176,19.590691,-86.800000,2105.760000,45.888561
7,1,57.002571,-60.000000,57.002571,-60.000000,5.686751,99.215218,9.960684,-186.100000,737.790000,27.162290
7,2,57.002571,-60.000000,57.002571,-60.000000,9.166097,199.540206,14.125870,-175.400000,1328.840000,36.453258
7,3,57.002571,-60.000000,57.002571,-60.000000,13.521990,187.443742,13.691010,-160.900000,1262.190000,35.527313
7,4,57.020061,-60.000000,57.020061,-60.000000,17.870077,270.172770,16.436933,-148.600000,1418.040000,37.656872
7,5,57.020061,-60.000000,57.020061,-60.000000,23.556558,457.761701,21.395366,-137.600000,2578.240000,50.776372
7,6,66.313053,-40.000000,66.313053,-40.000000,29.024111,568.390429,23.840940,-127.800000,3535.160000,59.457212
7,7,65.999456,-40.000000,66.313053,-40.000000,40.999525,342.050618,18.494611,-96.100000,1757.790000,41.926006
7,8,66.005296,-40.000000,66.313053,-40.000000,43.705953,508.353005,22.546685,-92.400000,3080.240000,55.499910
7,9,66.005296,-40.000000,66.313053,-40.000000,38.885716,542.425589,23.290032,-102.200000,3009.160000,54.855811
7,10,65.999456,-40.000000,66.313053,-40.000000,43.924400,463.920745,21.538819,-90.200000,2667.960000,51.652299
7,11,66.009042,-40.000000,66.313053,-40.000000,39.121625,596.949804,24.432556,-103.600000,3793.040000,61.587661
7,12,66.048209,-40.000000,66.313053,-40.000000,38.974037,538.384025,23.203104,-102.180000,3100.567600,55.682741
7,13,65.941874,-40.000000,66.313053,-40.000000,45.352002,428.918264,20.710342,-86.600000,2262.440000,47.565113
7,14,65.962950,-40.000000,66.313053,-40.000000,36.748188,644.302664,25.383118,-106.400000,3479.040000,58.983387
7,15,66.009042,-40.000000,66.313053,-40.000000,30.024100,533.339718,23.094149,-122.000000,2892.000000,53.777319
7,16,66.009042,-40.000000,66.313053,-40.000000,36.634924,471.492353,21.713875,-106.520000,2529.409600,50.293236
7,17,66.177865,-40.000000,66.313053,-40.000000,46.384750,442.223795,21.029118,-83.920000,2255.353600,47.490563
7,18,65.806309,-40.000000,66.313053,-40.000000,41.506288,473.994477,21.771414,-94.260000,2416.532400,49.158238
7,19,61.580427,-50.000000,66.313053,-40.000000,38.222111,498.891918,22.335889,-102.900000,2652.590000,51.503301
7,20,65.045415,30.000000,66.313053,-40.000000,44.043162,421.570156,20.532174,-88.500000,2278.750000,47.736255
7,21,61.516610,-50.000000,66.313053,-40.000000,43.697878,396.878738,19.921816,-88.680000,2092.737600,45.746449
7,22,66.009042,-40.000000,66.313053,-40.000000,45.251802,388.838002,19.718976,-86.900000,2111.390000,45.949864
7,23,66.007970,-40.000000,66.313053,-40.000000,43.105885,551.076494,23.475019,-93.000000,3139.000000,56.026779
7,24,72.464560,8.000000,72.464560,8.000000,40.946754,561.016732,23.685792,-96.320000,3021.097600,54.964512
7,25,71.387003,-12.000000,72.464560,8.000000,48.366969,341.297339,18.474234,-78.120000,1705.265600,41.294862
7,26,66.013352,-40.000000,72.464560,8.000000,47.612442,325.773010,18.049183,-81.100000,1637.790000,40.469618
7,27,66.007970,-40.000000,72.464560,8.000000,41.592547,455.060258,21.332141,-94.700000,2306.910000,48.030303
7,28,65.953260,-40.000000,72.464560,8.000000,42.230382,549.206677,23.435159,-92.900000,2720.590000,52.159275
7,29,66.009042,-40.000000,72.464560,8.000000,49.648929,265.365476,16.290042,-76.700000,1368.110000,36.987971
7,30,66.227754,-40.000000,72.464560,8.000000,48.651463,339.781140,18.433153,-78.700000,1699.310000,41.222688
8,1,56.967866,-60.000000,56.967866,-60.000000,5.453606,96.319625,9.814256,-186.300000,711.310000,26.670396
8,2,61.477295,-50.000000,61.477295,-50.000000,15.121318,310.431830,17.619076,-160.000000,1988.000000,44.586994
8,3,61.681756,-50.000000,61.681756,-50.000000,25.537513,399.709137,19.992727,-131.300000,2399.310000,48.982752
8,4,61.810875,-50.000000,61.810875,-50.000000,38.809821,431.880159,20.781727,-101.700000,2320.110000,48.167520
